Account,Project Name,Region,Practice,Project Manager,Start Date,End Date,Record ID
Adobe Systems Incorporated,Adobe Search Support,NATL,,Mike Green,3/10/2014,5/30/2014,a1D70000001KCcE
Adobe Systems Incorporated,Adobe Workshop,NATL,,Mike Green,2/10/2014,2/28/2014,a1D70000001K0JR
All About the Data (AATD),GUICE Support,NATL,,John Holshey,9/22/2014,3/31/2015,a1D70000002LXRR
American Society of Professional Education,Big Data Bootcamp,DC,,Niels Nielsen,9/14/2014,11/17/2014,a1D70000002LU9V
America's Test Kitchen,ATK-ECM Print to Digital Conversion-Project,DC,NoSQL,Niels Nielsen,5/31/2015,1/30/2016,a1D70000002laVE
America's Test Kitchen,Sage - Legacy Content Search,DC,NoSQL,Niels Nielsen,2/28/2016,7/23/2016,a1D39000003RA6X
America's Test Kitchen,Sage Content Migration for Legacy Content Search,DC,NoSQL,Niels Nielsen,7/24/2016,10/1/2016,a1D39000003RA6c
Apexus,VHA/Apexus.com,NATL,Enterprise Web,Mike Green,11/17/2014,6/30/2015,a1D70000002Mm54
Association of American Medical Colleges,CoreMedia Support,DC,,Niels Nielsen,3/16/2014,9/8/2014,a1D70000001KEHP
Association of American Medical Colleges,CoreMedia Upgrade,DC,,Niels Nielsen,12/1/2013,3/15/2014,a1D70000001JGUy
Association of American Medical Colleges,Pivio Implementation,DC,,Niels Nielsen,10/27/2013,2/28/2014,a1D70000001ImwL
Association of Computing Machinery,ACM Search Evaluation,DC,Enterprise Search,Niels Nielsen,4/5/2015,4/30/2015,a1D70000002k68E
Association of Computing Machinery,ACM-Digital Library Search Enhancements - Phase 1,DC,Enterprise Search,Niels Nielsen,5/10/2015,12/12/2015,a1D70000002l3ds
Baptist Healthcare System,Baptist CMS Support,NATL,,Mike Green,10/1/2012,12/31/2014,a1D70000001ImwN
Baptist Healthcare System,Vignette Upgrade Assessment,NATL,,Mike Green,4/1/2012,8/3/2012,a1D70000001ImwI
Bell Helicopter,Bell PSE Search Consulting,NATL,Enterprise Search,Mike Green,4/13/2015,9/12/2015,a1D70000002kwAo
